"age","sex","race_ethnicity","life_expectancy"
0,"male","Other",76.1007537841797
1,"male","Other",75.5826110839844
2,"male","Other",74.6143569946289
3,"male","Other",73.6356658935547
4,"male","Other",72.6521224975586
5,"male","Other",71.6635360717773
6,"male","Other",70.6746063232422
7,"male","Other",69.6843185424805
8,"male","Other",68.6929321289062
9,"male","Other",67.7004547119141
10,"male","Other",66.7070617675781
11,"male","Other",65.7132797241211
12,"male","Other",64.7203140258789
13,"male","Other",63.7300491333008
14,"male","Other",62.7447128295898
15,"male","Other",61.7659683227539
16,"male","Other",60.7942390441895
17,"male","Other",59.8294868469238
18,"male","Other",58.8720855712891
19,"male","Other",57.922248840332
20,"male","Other",56.9798126220703
21,"male","Other",56.0446739196777
22,"male","Other",55.1161880493164
23,"male","Other",54.1929168701172
24,"male","Other",53.2730369567871
25,"male","Other",52.3551635742188
26,"male","Other",51.4387435913086
27,"male","Other",50.523624420166
28,"male","Other",49.6094779968262
29,"male","Other",48.6961402893066
30,"male","Other",47.7835502624512
31,"male","Other",46.8716011047363
32,"male","Other",45.9602241516113
33,"male","Other",45.0494613647461
34,"male","Other",44.1393699645996
35,"male","Other",43.2299652099609
36,"male","Other",42.3215599060059
37,"male","Other",41.4142456054688
38,"male","Other",40.5076103210449
39,"male","Other",39.6011657714844
40,"male","Other",38.6948356628418
41,"male","Other",37.7891273498535
42,"male","Other",36.8850402832031
43,"male","Other",35.9835815429688
44,"male","Other",35.0857009887695
45,"male","Other",34.1920700073242
46,"male","Other",33.3029441833496
47,"male","Other",32.4188232421875
48,"male","Other",31.5407028198242
49,"male","Other",30.6699333190918
50,"male","Other",29.8077392578125
51,"male","Other",28.9543724060059
52,"male","Other",28.1100368499756
53,"male","Other",27.2757225036621
54,"male","Other",26.452220916748
55,"male","Other",25.6396389007568
56,"male","Other",24.8373470306396
57,"male","Other",24.0446186065674
58,"male","Other",23.26123046875
59,"male","Other",22.4873828887939
60,"male","Other",21.7233791351318
61,"male","Other",20.969633102417
62,"male","Other",20.2258319854736
63,"male","Other",19.4909191131592
64,"male","Other",18.7632961273193
65,"male","Other",18.0417747497559
66,"male","Other",17.32594871521
67,"male","Other",16.6173973083496
68,"male","Other",15.9159812927246
69,"male","Other",15.2223024368286
70,"male","Other",14.5379543304443
71,"male","Other",13.8603143692017
72,"male","Other",13.1977014541626
73,"male","Other",12.544282913208
74,"male","Other",11.9045171737671
75,"male","Other",11.2759218215942
76,"male","Other",10.6626462936401
77,"male","Other",10.065710067749
78,"male","Other",9.48768615722656
79,"male","Other",8.92621040344238
80,"male","Other",8.38279247283936
81,"male","Other",7.857346534729
82,"male","Other",7.34795475006104
83,"male","Other",6.85905504226685
84,"male","Other",6.39419269561768
85,"male","Other",5.94988536834717
86,"male","Other",5.5249719619751
