"county_res","population"
"Alameda",1643700
"Alpine",1146
"Amador",37829
"Butte",227075
"Calaveras",45235
"Colusa",21464
"Contra Costa",1133247
"Del Norte",27424
"El Dorado",186661
"Fresno",978130
"Glenn",27897
"Humboldt",135768
"Imperial",180216
"Inyo",18085
"Kern",883053
"Kings",150075
"Lake",64148
"Lassen",31185
"Los Angeles",10098052
"Madera",155013
"Marin",260295
"Mariposa",17540
"Mendocino",87422
"Merced",269075
"Modoc",8938
"Mono",14174
"Monterey",433212
"Napa",140530
"Nevada",99092
"Orange",3164182
"Placer",380077
"Plumas",18699
"Riverside",2383286
"Sacramento",1510023
"San Benito",59416
"San Bernardino",2135413
"San Diego",3302833
"San Francisco",870044
"San Joaquin",732212
"San Luis Obispo",281455
"San Mateo",765935
"Santa Barbara",443738
"Santa Clara",1922200
"Santa Cruz",273765
"Shasta",179085
"Sierra",2930
"Siskiyou",43540
"Solano",438530
"Sonoma",501317
"Stanislaus",539301
"Sutter",95872
"Tehama",63373
"Trinity",12862
"Tulare",460477
"Tuolumne",53932
"Ventura",848112
"Yolo",214977
"Yuba",75493
